date,category,value,position
12/12/2023,Reactions specific countries,4,25
13/12/2023,Reactions specific countries,0,25
14/12/2023,Reactions specific countries,1,25
15/12/2023,Reactions specific countries,2,25
16/12/2023,Reactions specific countries,6,25
17/12/2023,Reactions specific countries,4,25
18/12/2023,Reactions specific countries,9,25
19/12/2023,Reactions specific countries,0,25
20/12/2023,Reactions specific countries,1,25
21/12/2023,Reactions specific countries,4,25
22/12/2023,Reactions specific countries,4,25
23/12/2023,Reactions specific countries,5,25
24/12/2023,Reactions specific countries,0,25
25/12/2023,Reactions specific countries,0,25
26/12/2023,Reactions specific countries,1,25
27/12/2023,Reactions specific countries,3,25
02/10/2023,Refugees in Iran,2,10
03/10/2023,Refugees in Iran,6,10
04/10/2023,Refugees in Iran,2,10
05/10/2023,Refugees in Iran,1,10
06/10/2023,Refugees in Iran,5,10
07/10/2023,Refugees in Iran,3,10
08/10/2023,Refugees in Iran,4,10
09/10/2023,Refugees in Iran,5,10
10/10/2023,Refugees in Iran,6,10
11/10/2023,Refugees in Iran,1,10
12/10/2023,Refugees in Iran,2,10
13/10/2023,Refugees in Iran,3,10
14/10/2023,Refugees in Iran,0,10
15/10/2023,Refugees in Iran,0,10
16/10/2023,Refugees in Iran,1,10
17/10/2023,Refugees in Iran,0,10
18/10/2023,Refugees in Iran,1,10
19/10/2023,Refugees in Iran,1,10
20/10/2023,Refugees in Iran,2,10
21/10/2023,Refugees in Iran,5,10
22/10/2023,Refugees in Iran,3,10
23/10/2023,Refugees in Iran,2,10
24/10/2023,Refugees in Iran,3,10
25/10/2023,Refugees in Iran,6,10
26/10/2023,Refugees in Iran,5,10
27/10/2023,Refugees in Iran,3,10
28/10/2023,Refugees in Iran,0,10
29/10/2023,Refugees in Iran,0,10
30/10/2023,Refugees in Iran,6,10
31/10/2023,Refugees in Iran,2,10
01/11/2023,Refugees in Iran,4,10
02/11/2023,Refugees in Iran,6,10
03/11/2023,Refugees in Iran,6,10
04/11/2023,Refugees in Iran,1,10
05/11/2023,Refugees in Iran,11,10
06/11/2023,Refugees in Iran,16,10
